,1,2,2.1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
219,20191223 62路,运通102路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,20191223 686路,运通106路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,20191223 687路,运通107路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,20191223 450路,运通110路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,20191223 451路,运通111路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,20191223 644路,运通114路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,20201231 585路,20191223 685路,运通115路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,20191223 688路,运通118路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,20200521 X107路,947路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,20200620 专111路,545路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,20200620 344路,344路快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,20200701 T103路,柴厂通勤快车,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,20200928 专181路,开发区1路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,20200928 专182路,开发区2路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,20200928 专183路,开发区3路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,20200928 专184路,开发区4路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,20200928 专185路,开发区5路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,20200928 专186路,开发区6路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,20200928 专187路,开发区7路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,20200928 专188路,开发区8路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,20201219 835路,835路快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,20201231 354路,736路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,20210120 专194路,494路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,20210120 专195路,494路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,20210205 17路,525路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,20210205 135路,635路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,20210205 319路,701路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,20210205 63路,674路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,20210205 368路,特8路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,20210205 84路,684路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,20210205 69路,691路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,20210205 142路,特2路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,20210205 137路,特7路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,20210205 144路,特14路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,20210205 400路,740路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,20210205 400路快,特9路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
